  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-60 -40 -40) to (60 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  700 atoms
  read_data CPU = 0.004 seconds
Reading airebo potential file CH.airebo with DATE: 2011-10-25
700 atoms in group carbon_atoms
10 atoms in group cnt_top
10 atoms in group cnt_bot
680 atoms in group cnt_mid
630 atoms in group rdel
Deleted 10 atoms, new total = 690
Resetting atom IDs ...
Last active /omp style is pair_style airebo/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.2
  ghost atom cutoff = 12.2
  binsize = 6.1, bins = 20 14 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair airebo/omp, perpetual
      attributes: full, newton on, ghost, omp
      pair build: full/bin/ghost/omp
      stencil: full/ghost/bin/3d
      bin: standard
WARNING: Temperature for thermo pressure is not for group all (src/thermo.cpp:533)
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.74 | 12.74 | 12.74 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
     29500   303.13701     -4213.1189      70.097         143.18634    
     29600   309.99069     -4208.4966      70.172         146.01022    
     29700   294.78181     -4204.0386      70.247         148.36672    
     29800   295.39955     -4199.177       70.322         158.47048    
     29900   295.54401     -4194.0861      70.397         152.13417    
     30000   285.46161     -4188.8067      70.472         149.99962    
     30100   300.69826     -4183.1814      70.547         146.06207    
     30200   321.3681      -4178.3578      70.622         138.6649     
     30300   329.38731     -4174.0156      70.697         141.83866    
     30400   329.3692      -4169.9359      70.772         156.15588    
     30500   309.104       -4165.9188      70.847         148.39436    
     30600   324.62852     -4161.5602      70.922         150.79929    
     30700   311.12367     -4157.305       70.997         152.88496    
     30800   301.01523     -4152.7685      71.072         153.8688     
     30900   295.7367      -4147.8301      71.147         152.93365    
     31000   306.9898      -4142.5784      71.222         155.17168    
     31100   298.02883     -4137.084       71.297         149.34837    
     31200   295.06814     -4131.6141      71.372         158.33855    
     31300   299.22625     -4125.7796      71.447         154.39346    
     31400   297.15844     -4119.9779      71.522         157.1462     
     31500   303.26422     -4113.8752      71.597         167.99308    
     31600   295.57257     -4107.7733      71.672         163.40419    
     31700   307.39919     -4101.2626      71.747         150.7393     
     31800   351.79168     -4095.3703      71.822         161.30266    
     31900   344.98182     -4091.3025      71.897         155.47418    
     32000   388.24059     -4087.387       71.972         147.14076    
     32100   358.77079     -4084.2265      72.047         161.93016    
     32200   339.54314     -4081.1254      72.122         151.33306    
     32300   385.39888     -4078.0376      72.197         165.32922    
     32400   398.44664     -4076.2809      72.272         153.54394    
     32500   452.20714     -4075.1678      72.347         145.79586    
     32600   396.81434     -4075.3485      72.422         143.77254    
     32700   384.42668     -4074.1872      72.497         152.78041    
     32800   360.53269     -4072.637       72.572         162.16988    
     32900   342.31593     -4070.6444      72.647         153.76685    
     33000   318.11409     -4068.2994      72.722         151.66816    
     33100   328.25993     -4064.8752      72.797         158.66574    
     33200   319.0731      -4061.058       72.872         154.33447    
     33300   286.89927     -4056.8989      72.947         156.64201    
     33400   285.36505     -4052.1557      73.022         154.6892     
     33500   290.96049     -4046.4206      73.097         147.47994    
     33600   284.47699     -4040.3467      73.172         143.23825    
     33700   292.55845     -4034.1117      73.247         153.70872    
     33800   289.4189      -4027.3803      73.322         156.85483    
     33900   316.46944     -4021.0896      73.397         157.7831     
     34000   339.9176      -4016.0229      73.472         155.45171    
     34100   350.38735     -4012.166       73.547         172.18387    
     34200   515.80291     -4010.1183      73.622         159.78508    
     34300   572.74037     -4014.174       73.697         167.97974    
     34400   678.29871     -4021.4135      73.772         159.73954    
     34500   1005.057      -4037.5295      73.847         159.29862    
     34600   1134.2727     -4072.0502      73.922         145.90532    
     34700   1214.5069     -4112.6036      73.997         132.2253     
     34800   1347.2307     -4167.492       74.072         130.02548    
     34900   1384.7607     -4227.3611      74.147         116.69163    
     35000   1472.0574     -4297.5645      74.222         108.30036    
     35100   1561.3433     -4372.7926      74.297         108.83843    
     35200   1149.8381     -4441.0771      74.372         84.768221    
     35300   1025.6164     -4497.5981      74.447         60.025055    
     35400   936.39486     -4541.4048      74.522         35.442986    
     35500   823.46218     -4582.625       74.597         39.356183    
     35600   596.47202     -4613.1709      74.672         47.17457     
     35700   545.54525     -4632.4483      74.747         43.424603    
     35800   463.62635     -4649.2788      74.822         35.935283    
     35900   367.06962     -4660.5405      74.897         39.116252    
     36000   349.37191     -4668.695       74.972         47.143833    
     36100   296.27865     -4674.2274      75.047         49.566209    
     36200   288.72719     -4677.0716      75.122         51.389742    
     36300   260.30464     -4678.9499      75.197         40.669703    
     36400   259.02802     -4679.0304      75.272         41.736967    
     36500   249.88804     -4677.3988      75.347         45.89099     
     36600   266.00714     -4673.8579      75.422         44.996104    
     36700   272.67525     -4669.3118      75.497         36.512156    
     36800   288.30887     -4664.0439      75.572         39.417915    
     36900   325.06083     -4658.6253      75.647         40.769385    
     37000   334.94195     -4653.8272      75.722         52.461414    
     37100   346.30987     -4650.3032      75.797         54.93425     
     37200   334.10552     -4648.8874      75.872         53.719584    
     37300   337.03055     -4649.8963      75.947         50.142565    
     37400   302.54621     -4652.0013      76.022         45.873734    
     37500   275.39307     -4653.8869      76.097         53.458644    
     37600   263.10211     -4654.5063      76.172         46.709566    
     37700   268.18796     -4654.2793      76.247         39.620486    
     37800   266.78268     -4652.7628      76.322         46.469716    
     37900   273.31118     -4650.0027      76.397         44.42859     
     38000   296.48365     -4645.7485      76.472         55.900924    
     38100   291.04928     -4641.0821      76.547         49.697579    
     38200   306.00825     -4636.255       76.622         54.631422    
     38300   322.69236     -4631.8662      76.697         57.399484    
