ITEM: TIMESTEP
15800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 123.254 
2 -120.747 
3 -1.94045 
4 -110.355 
5 131.819 
6 17.5145 
7 -104.457 
8 141.239 
9 13.3691 
10 14.31 
11 -99.9948 
12 132.136 
13 143.658 
14 20.3804 
15 -96.3254 
16 -148.925 
17 -14.9775 
18 99.199 
19 131.426 
20 10.7294 
21 -112.2 
22 127.103 
23 4.19696 
24 -116.5 
25 -111.48 
26 131.149 
27 10.1855 
28 155.38 
29 36.0699 
30 -86.5786 
31 157.616 
32 34.9672 
33 -83.0737 
34 -90.4168 
35 146.935 
36 28.8937 
37 64.2582 
38 -57.9994 
39 -170.008 
40 -167.064 
41 -45.0667 
42 73.5768 
43 106.425 
44 92.3244 
45 -18.1128 
46 -128.395 
47 -153.448 
48 96.1144 
49 -14.1676 
50 -32.8557 
51 -143.293 
52 -154.498 
53 80.8483 
54 -36.2936 
55 176.635 
56 63.3437 
57 -56.2656 
58 -78.4857 
59 41.6526 
60 161.034 
61 -72.9533 
62 164.143 
63 51.1737 
64 -75.3132 
65 171.718 
66 47.5908 
67 38.0213 
68 -74.9478 
69 160.925 
70 133.302 
71 16.8477 
72 -109.068 
73 99.433 
74 -140.226 
75 -26.6677 
76 43.9812 
77 -76.61 
78 172.338 
79 44.2666 
80 -66.7858 
81 164.858 
82 163.819 
83 52.767 
84 -75.5894 
85 75.4373 
86 -47.0813 
87 -161.689 
88 -165.072 
89 -46.062 
90 169.454 
91 50.6121 
92 -70.3134 
93 166.981 
94 46.0554 
95 -74.1768 
96 -76.0362 
97 163.038 
98 42.8061 
99 -161.811 
100 -44.8888 
101 78.2121 
102 133.284 
103 -97.6049 
104 10.6691 
105 127.751 
106 -3.67547 
107 -109.54 
108 112.701 
109 6.83628 
110 -115.872 
111 -131.362 
112 122.773 
113 0.0644273 
114 -165.911 
115 76.8254 
116 -40.1304 
ITEM: TIMESTEP
16200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 130.572 
2 -108.464 
3 11.9172 
4 -86.6437 
5 156.103 
6 37.0844 
7 -84.119 
8 156.863 
9 33.1346 
10 33.6043 
11 -85.4141 
12 150.858 
13 140.823 
14 23.2991 
15 -96.3054 
16 -164.249 
17 -43.6788 
18 79.5721 
19 127.169 
20 13.9564 
21 -116.665 
22 130.123 
23 3.32331 
24 -109.889 
25 -138.736 
26 100.99 
27 -17.2098 
28 170.689 
29 42.5319 
30 -74.809 
31 171.367 
32 54.0263 
33 -60.4753 
34 -77.3004 
35 165.359 
36 50.8571 
37 50.0039 
38 -74.576 
39 172.358 
40 -151.617 
41 -25.2219 
42 91.7887 
43 102.478 
44 94.9113 
45 -27.5471 
46 -141.405 
47 -139.788 
48 97.7531 
49 -16.1046 
50 -21.2063 
51 -143.665 
52 -153.027 
53 91.3581 
54 -30.9002 
55 168.261 
56 55.9401 
57 -76.8229 
58 -71.3401 
59 45.8598 
60 163.765 
61 -88.5131 
62 152.527 
63 33.7458 
64 -88.3003 
65 152.919 
66 30.6598 
67 33.893 
68 -84.888 
69 152.853 
70 135.988 
71 11.0242 
72 -102.468 
73 107.399 
74 -134.327 
75 -14.8623 
76 55.0286 
77 -56.9901 
78 -179.281 
79 76.5321 
80 -45.7587 
81 -171.449 
82 -163.409 
83 74.3 
84 -51.3905 
85 60.036 
86 -71.5184 
87 170.057 
88 -155.185 
89 -37.8981 
90 170.134 
91 50.2499 
92 -65.4351 
93 172.508 
94 56.8229 
95 -67.6085 
96 -67.1818 
97 177.133 
98 52.7018 
99 -160.859 
100 -39.5894 
101 75.1709 
102 92.5298 
103 -144.644 
104 -23.0929 
105 143.59 
106 21.0108 
107 -100.461 
108 144.649 
109 23.1779 
110 -92.7717 
111 -97.2327 
112 141.296 
113 25.3462 
114 -165.686 
115 71.3792 
116 -45.9371 
ITEM: TIMESTEP
16250
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 110.604 
2 -132.989 
3 -7.84509 
4 -74.2617 
5 168.134 
6 48.7769 
7 -68.9219 
8 171.721 
9 48.6826 
10 50.5681 
11 -68.7888 
12 168.173 
13 140.445 
14 20.3145 
15 -99.1991 
16 -160.614 
17 -41.8713 
18 83.2381 
19 144.746 
20 32.5649 
21 -94.1679 
22 153.651 
23 23.3379 
24 -88.8431 
25 -152.532 
26 84.887 
27 -31.968 
28 -179.688 
29 59.1541 
30 -59.2423 
31 176.974 
32 58.5779 
33 -61.8682 
34 -66.0812 
35 175.522 
36 55.0763 
37 40.951 
38 -81.722 
39 166.717 
40 -144.824 
41 -30.4152 
42 94.7499 
43 107.115 
44 112.486 
45 -6.66792 
46 -127.257 
47 -133.351 
48 107.495 
49 -13.0934 
50 -13.1427 
51 -132.296 
52 -150.705 
53 82.4161 
54 -32.5138 
55 154.184 
56 33.5651 
57 -87.673 
58 -84.0009 
59 37.0625 
60 158.254 
61 -85.5063 
62 150.996 
63 32.411 
64 -81.5502 
65 159.865 
66 41.948 
67 35.1132 
68 -83.4714 
69 158.611 
70 147.187 
71 25.1406 
72 -98.2148 
73 120.623 
74 -119.812 
75 -4.92834 
76 38.4821 
77 -76.2799 
78 166.834 
79 52.3575 
80 -64.529 
81 167.119 
82 170.691 
83 53.8047 
84 -74.5468 
85 80.7894 
86 -45.5105 
87 -158.725 
88 -166.712 
89 -55.5306 
90 175.528 
91 58.5066 
92 -62.0227 
93 -177.216 
94 62.2544 
95 -60.1951 
96 -56.6831 
97 -177.212 
98 60.338 
99 -152.222 
100 -35.4825 
101 85.9891 
102 -171.264 
103 -48.3897 
104 69.9171 
105 153.606 
106 36.9539 
107 -88.4077 
108 150.143 
109 24.7816 
110 -93.2051 
111 -85.6167 
112 149.022 
113 31.035 
114 -153.999 
115 88.2745 
116 -31.5304 
ITEM: TIMESTEP
16300
